LCLid,stdorToU,DateTime,KWH/hh (per half hour) ,Acorn,Acorn_grouped
MAC000002,Std,2012-10-15 17:00:00.0000000, 0.695 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 17:30:00.0000000, 0.26 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 18:00:00.0000000, 0.227 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 18:30:00.0000000, 0.255 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 19:00:00.0000000, 1.164 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 19:30:00.0000000, 0.249 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 20:00:00.0000000, 0.225 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 20:30:00.0000000, 0.258 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 21:00:00.0000000, 0.26 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 21:30:00.0000000, 0.334 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 22:00:00.0000000, 0.299 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 22:30:00.0000000, 0.236 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 23:00:00.0000000, 0.241 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 23:30:00.0000000, 0.237 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 00:00:00.0000000, 0.237 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 00:30:00.0000000, 0.237 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 01:00:00.0000000, 0.193 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 01:30:00.0000000, 0.118 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 02:00:00.0000000, 0.098 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 02:30:00.0000000, 0.107 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 03:00:00.0000000, 0.094 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 03:30:00.0000000, 0.109 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 04:00:00.0000000, 0.091 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 04:30:00.0000000, 0.105 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 05:00:00.0000000, 0.091 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 05:30:00.0000000, 0.104 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 06:00:00.0000000, 0.092 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 06:30:00.0000000, 0.103 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 07:00:00.0000000, 0.093 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 07:30:00.0000000, 0.101 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 08:00:00.0000000, 0.144 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 08:30:00.0000000, 0.1 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 09:00:00.0000000, 0.408 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 09:30:00.0000000, 0.102 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 10:00:00.0000000, 0.1 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 10:30:00.0000000, 0.116 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 11:00:00.0000000, 0.354 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 11:30:00.0000000, 0.146 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 12:00:00.0000000, 0.19 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 12:30:00.0000000, 0.991 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 13:00:00.0000000, 0.31 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 13:30:00.0000000, 0.121 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 14:00:00.0000000, 0.113 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 14:30:00.0000000, 0.094 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 15:00:00.0000000, 0.119 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 15:30:00.0000000, 0.087 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 16:00:00.0000000, 0.13 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 16:30:00.0000000, 0.238 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 17:00:00.0000000, 0.204 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 17:30:00.0000000, 0.284 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 18:00:00.0000000, 0.447 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 18:30:00.0000000, 0.266 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 19:00:00.0000000, 0.966 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 19:30:00.0000000, 0.172 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 20:00:00.0000000, 0.192 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 20:30:00.0000000, 0.228 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 21:00:00.0000000, 0.203 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 21:30:00.0000000, 0.211 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 22:00:00.0000000, 0.188 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 22:30:00.0000000, 0.213 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 23:00:00.0000000, 0.157 ,ACORN-A,Affluent
MAC000002,Std,2012-10-16 23:30:00.0000000, 0.202 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 00:00:00.0000000, 0.157 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 00:30:00.0000000, 0.211 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 01:00:00.0000000, 0.155 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 01:30:00.0000000, 0.169 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 02:00:00.0000000, 0.101 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 02:30:00.0000000, 0.117 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 03:00:00.0000000, 0.084 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 03:30:00.0000000, 0.118 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 04:00:00.0000000, 0.08 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 04:30:00.0000000, 0.119 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 05:00:00.0000000, 0.075 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 05:30:00.0000000, 0.123 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 06:00:00.0000000, 0.071 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 06:30:00.0000000, 0.126 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 07:00:00.0000000, 0.067 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 07:30:00.0000000, 0.124 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 08:00:00.0000000, 0.118 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 08:30:00.0000000, 0.132 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 09:00:00.0000000, 0.358 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 09:30:00.0000000, 0.628 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 10:00:00.0000000, 0.784 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 10:30:00.0000000, 0.681 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 11:00:00.0000000, 0.749 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 11:30:00.0000000, 0.593 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 12:00:00.0000000, 0.502 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 12:30:00.0000000, 0.115 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 13:00:00.0000000, 0.113 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 13:30:00.0000000, 0.092 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 14:00:00.0000000, 0.124 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 14:30:00.0000000, 0.084 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 15:00:00.0000000, 0.125 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 15:30:00.0000000, 0.078 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 16:00:00.0000000, 0.136 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 16:30:00.0000000, 0.227 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 17:00:00.0000000, 0.207 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 17:30:00.0000000, 0.141 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 18:00:00.0000000, 0.258 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 18:30:00.0000000, 0.217 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 19:00:00.0000000, 0.223 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 19:30:00.0000000, 0.075 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 20:00:00.0000000, 0.23 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 20:30:00.0000000, 0.208 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 21:00:00.0000000, 0.265 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 21:30:00.0000000, 0.377 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 22:00:00.0000000, 0.327 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 22:30:00.0000000, 0.277 ,ACORN-A,Affluent
